Game_Date,Pitcher,line,odds,Predicted_K,edge,bet_recommendation,confidence,predicted_so,Pitcher_clean,Pitcher_fuzzy,Strikeouts,Result
2025-05-31,slade cecconi,5.5,103,2.6792313218390804,-2.82076867816092,✅ Under,🔥🔥🔥🔥🔥,,slade cecconi,slade cecconi,6.0,Over
2025-05-31,walker buehler,4.5,118,1.682250169558078,-2.817749830441922,✅ Under,🔥🔥🔥🔥🔥,,walker buehler,walker buehler,3.0,Over
2025-05-31,will warren,5.5,141,2.274893847718998,-3.225106152281002,✅ Under,🔥🔥🔥🔥🔥,,will warren,will warren,7.0,Over
2025-05-31,zack littell,3.5,-122,2.0489168362247443,-1.4510831637752557,✅ Under,🔥🔥,,zack littell,zack littell,4.0,Over
2025-06-01,bailey falter,3.5,132,2.162250169558078,-1.337749830441922,✅ Under,🔥🔥,,bailey falter,bailey falter,1.0,Under
2025-06-01,brandon pfaadt,4.5,-114,2.551875,-1.948125,✅ Under,🔥🔥🔥,,brandon pfaadt,brandon pfaadt,5.0,Over
2025-06-01,dylan cease,6.5,-156,3.9885170361247946,-2.5114829638752054,✅ Under,🔥🔥🔥🔥🔥,,dylan cease,dylan cease,8.0,Over
2025-06-01,michael soroka,4.5,124,2.560208333333333,-1.9397916666666668,✅ Under,🔥🔥🔥,,michael soroka,michael soroka,2.0,Under
2025-05-31,antonio senzatela,3.5,132,0.834619812248195,-2.665380187751805,✅ Under,🔥🔥🔥🔥🔥,,antonio senzatela,antonio senzatela,4.0,Over
2025-05-31,bailey ober,5.5,104,0.8992447848045674,-4.6007552151954325,✅ Under,🔥🔥🔥🔥🔥,,bailey ober,bailey ober,3.0,Over
2025-05-31,bryce miller,4.5,-122,1.2310178607643487,-3.268982139235652,✅ Under,🔥🔥🔥🔥🔥,,bryce miller,bryce miller,3.0,Over
2025-05-31,colton gordon,4.5,112,0.9537011107862052,-3.5462988892137948,✅ Under,🔥🔥🔥🔥🔥,,colton gordon,colton gordon,4.0,Over
