Rk,Player,SO,Date,Age,Team,Unnamed: 6,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Pos
112,Tarik Skubal,8,2025-05-02,28-163,DET,@,LAA,"W, 9-1",GS-6,6.0,4,1,1,0,1,0,0,8,0,0,0,21,4,P
113,Tarik Skubal,8,2025-05-20,28-181,DET,@,STL,"W, 5-4",GS-6,5.2,5,3,3,0,1,1,0,8,0,1,1,23,6,P
114,Michael Soroka,8,2025-05-18,27-287,WSN,@,BAL,"W, 10-4","GS-6, W",5.2,7,3,3,0,2,0,0,8,0,0,0,25,8,P
115,Michael Soroka,8,2025-05-07,27-276,WSN,,CLE,"L, 6-8","GS-6, L",5.0,5,4,4,0,0,2,0,8,1,0,0,22,8,P
116,Ranger Suárez,8,2025-05-27,29-274,PHI,,ATL,"W, 2-0","GS-6, W",6.0,4,0,0,0,0,3,0,8,0,0,0,26,8,P
117,Framber Valdez,8,2025-05-18,31-180,HOU,@,TEX,"W, 4-3","GS-7, W",7.0,6,3,3,0,0,1,0,8,0,0,0,28,7,P
118,Will Warren,8,2025-05-04,25-322,NYY,,TBR,"L, 5-7","GS-5, L",4.2,7,5,3,2,1,3,0,8,0,0,0,26,10,P
119,Zack Wheeler,8,2025-05-23,34-358,PHI,@,ATH,"W, 4-3","GS-7, W",6.2,3,0,0,0,0,2,0,8,0,0,0,25,5,P
120,Zack Wheeler,8,2025-05-11,34-346,PHI,@,CLE,"W, 3-0","GS-7, W",7.0,3,0,0,0,0,2,0,8,0,0,0,25,5,P
121,Gavin Williams,8,2025-05-09,25-287,CLE,,PHI,"W, 6-0","GS-5, W",5.0,4,0,0,0,0,4,0,8,0,0,1,21,8,P
122,Bryan Woo,8,2025-05-02,25-092,SEA,@,TEX,"W, 13-1","GS-7, W",6.1,1,0,0,0,0,0,0,8,0,0,0,20,1,P
123,Ryan Yarbrough,8,2025-05-21,33-141,NYY,,TEX,"W, 4-3",GS-5,5.0,3,1,1,0,1,0,0,8,0,0,0,18,3,P
124,Andrew Abbott,7,2025-05-13,25-346,CIN,,CHW,"L, 1-5 (10)",GS-6,6.0,4,1,1,0,0,0,0,7,0,0,0,22,4,P
