Rk,Team,Date,SO,Unnamed: 4,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR
1504,SEA,2025-03-28,5,,ATH,L 0-7,9.0,12,7,7,0,3,5,0,5,1,0,0,44,18
1505,SFG,2025-05-21,5,,KCR,L 4-8,9.0,16,8,5,3,1,0,0,5,1,0,0,44,18
1506,SFG,2025-05-18,5,,ATH,W 3-2,9.0,4,2,2,0,0,5,0,5,0,0,0,36,9
1507,SFG,2025-05-05,5,@,CHC,L 2-9,8.0,9,9,3,6,2,3,0,5,0,0,0,39,15
1508,SFG,2025-04-05,5,,SEA,W 4-1,9.0,7,1,1,0,1,6,0,5,0,0,0,36,13
1509,SFG,2025-03-30,5,@,CIN,W 6-3,9.0,5,3,3,0,2,2,0,5,0,0,0,32,7
1510,STL,2025-05-23,5,,ARI,W 4-3,9.0,8,3,3,0,2,2,0,5,0,0,0,37,10
1511,STL,2025-05-20,5,,DET,L 4-5,9.0,7,5,5,0,2,0,0,5,0,0,0,34,7
1512,STL,2025-05-14 (1),5,@,PHI,L 1-2,8.0,7,2,2,0,0,4,0,5,0,0,0,33,11
1513,STL,2025-05-05,5,,PIT,W 6-3,9.0,7,3,3,0,1,4,0,5,1,0,0,38,13
1514,STL,2025-04-25,5,,MIL,W 3-2,9.0,9,2,1,1,0,1,0,5,0,0,0,36,10
1515,STL,2025-04-22,5,@,ATL,W 10-4,9.0,8,4,4,0,2,6,0,5,0,0,2,41,14
1516,STL,2025-04-14,5,,HOU,W 8-3,9.0,7,3,3,0,1,2,0,5,0,0,0,34,9
1517,STL,2025-04-06 (2),5,@,BOS,L 7-18,8.0,21,18,15,3,1,4,0,5,0,0,1,50,26
1518,STL,2025-03-30,5,,MIN,W 9-2,9.0,5,2,2,0,1,2,0,5,0,0,1,34,7
1519,TBR,2025-05-23,5,,TOR,W 3-1,9.0,4,1,1,0,0,8,0,5,0,0,0,36,12
1520,TBR,2025-05-08,5,,PHI,L 6-7 (10),10.0,9,7,5,2,1,3,0,5,0,0,0,40,12
1521,TBR,2025-05-06,5,,PHI,L 4-8,9.0,13,8,8,0,3,4,0,5,1,0,0,42,18
1522,TBR,2025-05-01,5,,KCR,L 2-8,9.0,15,8,8,0,1,5,0,5,1,0,0,48,21
1523,TBR,2025-04-23,5,@,ARI,W 7-6 (11),11.0,9,6,5,1,2,7,0,5,0,0,0,47,16
1524,TBR,2025-04-17,5,,NYY,L 3-6,9.0,11,6,6,0,1,4,0,5,0,0,0,40,15
1525,TBR,2025-04-10,5,,LAA,L 1-11,9.0,14,11,10,1,6,1,0,5,0,0,0,42,15
1526,TBR,2025-04-02,5,,PIT,L 2-4,9.0,8,4,4,0,1,3,0,5,2,0,0,39,13
1527,TEX,2025-05-18,5,,HOU,L 3-4,9.0,4,4,4,0,2,4,0,5,0,0,0,34,8
1528,TEX,2025-05-17,5,,HOU,W 5-1,9.0,5,1,1,0,0,4,0,5,0,0,0,35,9
1529,TEX,2025-05-09,5,@,DET,L 1-2,8.0,3,2,2,0,0,5,0,5,0,0,0,31,8
1530,TEX,2025-05-04,5,,SEA,W 8-1,9.0,4,1,1,0,0,3,0,5,0,0,0,33,7
1531,TEX,2025-04-20,5,,LAD,L 0-1,9.0,3,1,1,0,0,4,0,5,0,0,0,34,7
1532,TEX,2025-04-09,5,@,CHC,W 6-2,9.0,4,2,2,0,0,1,0,5,0,0,1,32,5
1533,TEX,2025-04-08,5,@,CHC,L 6-10,8.0,12,10,6,4,1,6,1,5,1,0,1,43,20
1534,TEX,2025-04-05,5,,TBR,W 6-4,9.0,10,4,4,0,2,0,0,5,0,0,0,36,10
1535,TOR,2025-04-29,5,,BOS,L 2-10,9.0,14,10,10,0,5,3,0,5,1,0,0,44,18
1536,WSN,2025-05-30,5,@,ARI,W 9-7,9.0,12,7,7,0,0,3,0,5,1,0,0,40,16
1537,WSN,2025-05-10,5,,STL,L 2-4,9.0,7,4,4,0,0,3,0,5,2,0,0,38,12
1538,WSN,2025-05-06 (2),5,,CLE,L 1-9,9.0,8,9,9,0,3,4,0,5,1,0,4,40,13
1539,WSN,2025-05-02,5,@,CIN,L 1-6,8.0,7,6,6,0,0,6,0,5,1,0,0,38,14
1540,WSN,2025-04-11,5,@,MIA,W 7-4,9.0,7,4,3,1,0,4,0,5,2,0,0,41,13
1541,WSN,2025-03-29,5,,PHI,L 6-11,9.0,14,11,11,0,3,8,0,5,0,1,1,47,22
1542,LAA,2025-05-22,4,@,ATH,W 10-5,9.0,10,5,5,0,1,10,0,4,0,0,0,43,20
1543,ARI,2025-05-05,4,,NYM,L 4-5,9.0,8,5,5,0,2,5,0,4,2,0,0,38,15
1544,ARI,2025-05-02,4,@,PHI,L 2-3,8.0,6,3,3,0,2,1,0,4,0,0,0,30,7
1545,ARI,2025-04-29,4,@,NYM,L 3-8,8.0,9,8,8,0,3,3,0,4,0,0,0,35,12
1546,ARI,2025-04-11,4,,MIL,L 0-7,9.0,10,7,6,1,0,3,0,4,1,0,0,41,14
1547,ATL,2025-05-20,4,@,WSN,L 3-5,8.0,8,5,5,0,1,4,0,4,2,1,1,35,14
1548,ATL,2025-04-18,4,,MIN,W 6-4,9.0,6,4,4,0,1,3,0,4,0,0,0,36,9
1549,BAL,2025-05-02,4,,KCR,W 3-0,9.0,4,0,0,0,0,1,0,4,0,0,1,32,5
1550,BAL,2025-04-15,4,,CLE,L 3-6,9.0,11,6,6,0,1,3,0,4,0,0,0,40,14
1551,BOS,2025-05-12,4,@,DET,L 2-14,8.0,18,14,13,1,2,3,0,4,1,0,1,47,23
1552,BOS,2025-05-03,4,,MIN,L 3-4,9.0,10,4,4,0,1,2,0,4,1,0,0,40,13
1553,BOS,2025-04-09,4,,TOR,L 1-2 (11),11.0,6,2,1,1,0,2,0,4,0,0,0,38,8
1554,CHC,2025-05-16,4,,CHW,W 13-3,9.0,11,3,3,0,2,0,0,4,0,0,0,36,11
1555,CHC,2025-04-16,4,@,SDP,L 2-4,8.0,7,4,4,0,0,7,0,4,0,0,0,38,15
