Rk,Player,SO,"App,Dec",IP,Date,Age,Team,Unnamed: 8,Opp,Result,"App,Dec.1",IP.1,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Pos
82,Kolby Allard,3,GS-4,4.0,2025-05-28,27-288,CLE,,LAD,"W, 7-4",GS-4,4.0,4,2,2,0,0,0,0,3,0,0,0,16,4,P
83,Tyler Anderson,3,"GS-6, L",6.0,2025-05-27,35-148,LAA,,NYY,"L, 2-3","GS-6, L",6.0,5,2,1,1,1,1,0,3,0,0,0,25,7,P
84,Shane Baz,3,GS-6,5.2,2025-05-29,25-346,TBR,@,HOU,"W, 13-3",GS-6,5.2,7,3,3,0,2,0,0,3,0,0,0,24,8,P
85,Walker Buehler,3,"GS-5, L",5.0,2025-05-25,30-301,BOS,,BAL,"L, 1-5","GS-5, L",5.0,4,2,2,0,1,2,0,3,0,0,0,20,6,P
86,Zac Gallen,3,"GS-6, L",5.0,2025-05-28,29-298,ARI,,PIT,"L, 1-10","GS-6, L",5.0,6,6,5,1,0,3,0,3,0,0,0,25,10,P
87,Hunter Greene,3,"GS-5, L",5.0,2025-05-28,25-295,CIN,@,KCR,"L, 2-3","GS-5, L",5.0,7,2,2,0,0,1,0,3,0,0,0,21,8,P
88,Clay Holmes,3,GS-6,5.2,2025-05-26,32-060,NYM,,CHW,"W, 2-1",GS-6,5.2,4,1,1,0,0,3,0,3,0,1,0,24,7,P
89,Clayton Kershaw,3,GS-5,5.0,2025-05-28,37-070,LAD,@,CLE,"L, 4-7",GS-5,5.0,6,1,1,0,0,2,0,3,0,0,0,21,8,P
90,Stephen Kolek,3,"GS-6, W",5.1,2025-05-27,28-039,SDP,,MIA,"W, 8-6","GS-6, W",5.1,6,6,6,0,0,2,0,3,0,0,0,25,9,P
91,Pablo López,3,"GS-5, L",5.0,2025-05-28,29-082,MIN,@,TBR,"L, 0-5","GS-5, L",5.0,7,4,4,0,2,2,0,3,0,0,1,23,9,P
92,Miles Mikolas,3,GS-4,4.0,2025-05-28,36-278,STL,@,BAL,"W, 6-4",GS-4,4.0,9,4,4,0,0,0,0,3,0,0,0,21,9,P
93,Keider Montero,3,"GS-5, W",5.0,2025-05-26,24-324,DET,,SFG,"W, 3-1","GS-5, W",5.0,1,0,0,0,0,2,0,3,0,0,0,18,3,P
94,Bailey Ober,3,GS-7,6.2,2025-05-25,29-317,MIN,,KCR,"L, 1-2 (10)",GS-7,6.2,7,1,1,0,0,1,0,3,0,1,0,27,8,P
95,Brady Singer,3,"GS-7, W",7.0,2025-05-27,28-296,CIN,@,KCR,"W, 7-2","GS-7, W",7.0,7,2,2,0,0,1,0,3,0,0,0,29,8,P
96,Tomoyuki Sugano,3,GS-6,5.1,2025-05-27,35-228,BAL,,STL,"L, 4-7",GS-6,5.1,8,3,3,0,1,0,0,3,0,0,0,24,8,P
97,Brandon Waddell,3,4-8,5.0,2025-05-28,30-359,NYM,,CHW,"L, 4-9",4-8,5.0,7,4,4,0,1,1,0,3,0,0,0,23,8,P
98,Gavin Williams,3,"GS-5, L",4.2,2025-05-26,25-304,CLE,,LAD,"L, 2-7","GS-5, L",4.2,4,4,4,0,1,6,0,3,0,1,0,24,10,P
99,Logan Allen,2,"GS-4, L",3.2,2025-05-25,26-262,CLE,@,DET,"L, 0-5","GS-4, L",3.2,6,5,4,1,1,4,0,2,0,0,0,22,12,P
100,Chris Bassitt,2,"GS-5, L",4.0,2025-05-25,36-092,TOR,@,TBR,"L, 0-13","GS-5, L",4.0,9,5,5,0,1,2,0,2,0,0,0,22,11,P
101,Brayan Bello,2,GS-5,4.2,2025-05-28,26-011,BOS,@,MIL,"L, 5-6 (10)",GS-5,4.2,3,2,1,1,1,2,0,2,0,0,0,20,6,P
102,Noah Cameron,2,"GS-7, W",6.1,2025-05-28,25-315,KCR,,CIN,"W, 3-2","GS-7, W",6.1,6,1,1,0,0,2,0,2,0,0,0,27,8,P
103,Andrew Heaney,2,"GS-5, L",5.0,2025-05-26,33-355,PIT,@,ARI,"L, 0-5","GS-5, L",5.0,8,5,5,0,2,3,0,2,0,0,0,25,11,P
104,Gunnar Hoglund,2,GS-5,5.0,2025-05-25,25-159,ATH,,PHI,"W, 5-4",GS-5,5.0,4,3,3,0,0,3,0,2,0,0,0,21,7,P
105,Michael Lorenzen,2,"GS-5, L",5.0,2025-05-26,33-142,KCR,,CIN,"L, 4-7","GS-5, L",5.0,11,6,6,0,1,3,0,2,0,0,1,29,14,P
106,Nick Martinez,2,"GS-7, W",7.0,2025-05-26,34-294,CIN,@,KCR,"W, 7-4","GS-7, W",7.0,6,3,3,0,1,0,0,2,0,0,0,26,6,P
107,Davis Martin,2,GS-6,6.0,2025-05-25,28-141,CHW,,TEX,"L, 4-5",GS-6,6.0,4,2,2,0,1,3,0,2,0,0,0,24,7,P
108,Michael Soroka,2,"GS-6, L",6.0,2025-05-25,27-294,WSN,,SFG,"L, 2-3","GS-6, L",6.0,5,3,3,0,1,1,0,2,1,0,0,24,7,P
109,Trevor Williams,2,"GS-6, W",6.0,2025-05-28,33-033,WSN,@,SEA,"W, 9-0","GS-6, W",6.0,3,0,0,0,0,0,0,2,0,0,0,20,3,P
110,Bailey Falter,1,GS-6,5.2,2025-05-25,28-031,PIT,,MIL,"L, 5-6",GS-6,5.2,4,3,2,1,0,3,0,1,0,0,0,24,7,P
111,Tanner Gordon,1,"GS-5, L",4.2,2025-05-28,27-214,COL,@,CHC,"L, 1-2","GS-5, L",4.2,6,2,2,0,1,0,0,1,0,0,0,19,6,P
112,Kyle Hart,1,GS-5,4.2,2025-05-28,32-186,SDP,,MIA,"L, 8-10",GS-5,4.2,6,5,5,0,2,0,0,1,0,0,0,20,6,P
113,Sandy Alcantara,0,GS-4,4.0,2025-05-28,29-263,MIA,@,SDP,"W, 10-8",GS-4,4.0,7,6,6,0,0,4,0,0,0,0,0,21,11,P
114,Jacob deGrom,0,"GS-6, L",5.1,2025-05-26,36-341,TEX,,TOR,"L, 1-2","GS-6, L",5.1,5,2,2,0,1,2,0,0,0,0,0,23,7,P
1,Lance McCullers Jr.,12,GS-6,6.0,2025-05-28,31-238,HOU,,ATH,"W, 5-3",GS-6,6.0,5,3,3,0,1,1,0,12,0,0,0,24,6,P
2,Garrett Crochet,11,"GS-7, L",6.2,2025-05-26,25-339,BOS,@,MIL,"L, 2-3","GS-7, L",6.2,5,2,2,0,1,2,0,11,0,0,0,27,7,P
3,Carlos Rodón,10,"GS-7, W",7.0,2025-05-27,32-168,NYY,@,LAA,"W, 3-2","GS-7, W",7.0,5,0,0,0,0,0,0,10,0,0,0,26,5,P
4,Logan Webb,10,"GS-6, L",6.0,2025-05-27,28-190,SFG,@,DET,"L, 1-3","GS-6, L",6.0,7,3,3,0,1,1,0,10,0,0,0,26,8,P
5,José Berríos,9,"GS-6, W",6.0,2025-05-29,31-002,TOR,,ATH,"W, 12-0","GS-6, W",6.0,2,0,0,0,0,2,0,9,0,0,0,21,4,P
6,Dustin May,9,"GS-5, W",5.0,2025-05-27,27-263,LAD,@,CLE,"W, 9-5","GS-5, W",5.0,4,3,3,0,1,2,0,9,0,0,0,20,6,P
7,Cade Povich,9,"GS-5, L",4.2,2025-05-28,25-046,BAL,,STL,"L, 4-6","GS-5, L",4.2,8,5,5,0,1,3,0,9,0,0,1,24,11,P
8,Matthew Boyd,8,"GS-6, W",6.0,2025-05-28,34-115,CHC,,COL,"W, 2-1","GS-6, W",6.0,4,1,0,1,0,0,0,8,0,0,0,21,4,P
9,Hunter Brown,8,"GS-6, W",6.0,2025-05-27,26-271,HOU,,ATH,"W, 11-1","GS-6, W",6.0,6,1,1,0,1,0,0,8,0,0,0,21,6,P
10,Jack Flaherty,8,"GS-6, W",6.0,2025-05-27,29-224,DET,,SFG,"W, 3-1","GS-6, W",6.0,2,0,0,0,0,1,0,8,1,0,0,21,4,P
11,MacKenzie Gore,8,GS-6,6.0,2025-05-29,26-094,WSN,@,SEA,"W, 9-3 (10)",GS-6,6.0,4,0,0,0,0,0,0,8,1,0,1,22,5,P
12,Chris Sale,8,"GS-6, W",6.0,2025-05-29 (2),36-060,ATL,@,PHI,"W, 9-3","GS-6, W",6.0,2,0,0,0,0,3,0,8,1,0,0,24,6,P
13,Ranger Suárez,8,"GS-6, W",6.0,2025-05-27,29-274,PHI,,ATL,"W, 2-0","GS-6, W",6.0,4,0,0,0,0,3,0,8,0,0,0,26,8,P
14,Tanner Bibee,7,"GS-5, L",5.0,2025-05-27,26-083,CLE,,LAD,"L, 5-9","GS-5, L",5.0,7,4,4,0,1,3,1,7,0,0,0,23,10,P
15,Andre Pallante,7,GS-6,5.2,2025-05-27,26-251,STL,@,BAL,"W, 7-4",GS-6,5.2,6,4,3,1,1,3,0,7,0,1,1,27,9,P
16,Landen Roupp,7,"GS-5, L",4.0,2025-05-28,26-260,SFG,@,DET,"L, 3-4","GS-5, L",4.0,5,4,1,3,0,2,0,7,1,0,0,21,9,P
17,Paul Skenes,7,"GS-7, W",6.2,2025-05-28,22-364,PIT,@,ARI,"W, 10-1","GS-7, W",6.2,4,0,0,0,0,0,0,7,1,0,0,26,6,P
18,Spencer Strider,7,"GS-5, L",4.2,2025-05-27,26-211,ATL,@,PHI,"L, 0-2","GS-5, L",4.2,1,1,1,0,0,4,0,7,1,0,0,20,6,P
19,Jameson Taillon,7,"GS-7, W",6.1,2025-05-26,33-189,CHC,,COL,"W, 3-1","GS-7, W",6.1,4,1,1,0,1,0,0,7,0,0,0,23,4,P
20,Yoshinobu Yamamoto,7,"GS-6, W",6.0,2025-05-26,26-282,LAD,@,CLE,"W, 7-2","GS-6, W",6.0,3,2,2,0,0,2,0,7,0,0,1,23,6,P
21,Ryan Yarbrough,7,"GS-6, W",6.0,2025-05-26,33-146,NYY,@,LAA,"W, 5-1","GS-6, W",6.0,2,1,1,0,1,1,0,7,0,0,0,21,3,P
22,Hayden Birdsong,6,"GS-5, L",4.1,2025-05-26,23-269,SFG,@,DET,"L, 1-3","GS-5, L",4.1,5,3,3,0,0,2,0,6,0,0,1,20,7,P
