Rk,Team,Date,HR,Unnamed: 4,Opp,Result,PA,AB,R,H,1B,2B,3B,HR.1,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Unnamed: 3
229,BAL,2025-05-14 (2),2.0,,MIN,L 6-8,39.0,37.0,6.0,11.0,9.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,7.0,0.297,0.333,0.459,0.793,17.0,1.0,0.0,0.0,0.0,0.0,
230,BAL,2025-04-30,2.0,,NYY,W 5-4,37.0,34.0,5.0,10.0,8.0,0.0,0.0,2.0,5.0,2.0,1.0,3.0,12.0,0.294,0.351,0.471,0.822,16.0,0.0,0.0,0.0,0.0,0.0,
231,BAL,2025-04-26 (1),2.0,@,DET,L 3-4,39.0,37.0,3.0,11.0,9.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,10.0,0.297,0.333,0.459,0.793,17.0,1.0,0.0,0.0,0.0,0.0,
232,BAL,2025-04-18,2.0,,CIN,L 3-8,32.0,31.0,3.0,4.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,15.0,0.129,0.156,0.323,0.479,10.0,0.0,0.0,0.0,0.0,0.0,
233,BAL,2025-04-13,2.0,,TOR,L 6-7 (10),43.0,41.0,6.0,9.0,4.0,2.0,1.0,2.0,3.0,1.0,0.0,2.0,13.0,0.22,0.256,0.463,0.719,19.0,0.0,0.0,0.0,0.0,0.0,
234,BAL,2025-04-12,2.0,,TOR,W 5-4,31.0,28.0,5.0,4.0,1.0,1.0,0.0,2.0,5.0,0.0,1.0,2.0,6.0,0.143,0.226,0.393,0.619,11.0,0.0,1.0,0.0,0.0,0.0,
235,BOS,2025-05-28,2.0,@,MIL,L 5-6 (10),45.0,38.0,5.0,9.0,7.0,0.0,0.0,2.0,5.0,1.0,0.0,5.0,13.0,0.237,0.341,0.395,0.736,15.0,0.0,1.0,1.0,0.0,1.0,
236,BOS,2025-05-20,2.0,,NYM,W 2-0,32.0,27.0,2.0,5.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,7.0,0.185,0.29,0.407,0.698,11.0,0.0,1.0,1.0,0.0,0.0,
237,BOS,2025-05-17,2.0,,ATL,W 7-6,38.0,34.0,7.0,10.0,4.0,4.0,0.0,2.0,7.0,1.0,1.0,4.0,6.0,0.294,0.368,0.588,0.957,20.0,0.0,0.0,0.0,0.0,0.0,
238,BOS,2025-05-12,2.0,@,DET,L 2-14,38.0,32.0,2.0,6.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,9.0,0.188,0.316,0.375,0.691,12.0,1.0,1.0,0.0,0.0,0.0,
239,BOS,2025-05-11,2.0,@,KCR,W 3-1,34.0,32.0,3.0,8.0,5.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,8.0,0.25,0.273,0.469,0.741,15.0,1.0,0.0,1.0,0.0,1.0,
240,BOS,2025-05-10,2.0,@,KCR,W 10-1,45.0,41.0,10.0,15.0,10.0,2.0,1.0,2.0,10.0,0.0,1.0,4.0,12.0,0.366,0.422,0.61,1.032,25.0,0.0,0.0,0.0,0.0,0.0,
241,BOS,2025-04-30,2.0,@,TOR,L 6-7 (10),41.0,35.0,6.0,7.0,3.0,2.0,0.0,2.0,5.0,2.0,0.0,5.0,11.0,0.2,0.317,0.429,0.746,15.0,0.0,1.0,0.0,0.0,0.0,
242,BOS,2025-04-26 (1),2.0,@,CLE,L 4-5,40.0,34.0,4.0,7.0,4.0,1.0,0.0,2.0,4.0,1.0,0.0,5.0,10.0,0.206,0.325,0.412,0.737,14.0,0.0,1.0,0.0,0.0,0.0,
243,BOS,2025-04-24,2.0,,SEA,L 3-4,34.0,31.0,3.0,4.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,12.0,0.129,0.206,0.355,0.561,11.0,0.0,1.0,0.0,0.0,0.0,
244,BOS,2025-04-04,2.0,,STL,W 13-9,46.0,37.0,13.0,16.0,10.0,4.0,0.0,2.0,12.0,2.0,0.0,8.0,3.0,0.432,0.522,0.703,1.224,26.0,1.0,0.0,0.0,1.0,0.0,
245,BOS,2025-03-27,2.0,@,TEX,W 5-2,36.0,33.0,5.0,6.0,4.0,0.0,0.0,2.0,5.0,2.0,0.0,3.0,13.0,0.182,0.25,0.364,0.614,12.0,0.0,0.0,0.0,0.0,0.0,
246,CHC,2025-05-24,2.0,@,CIN,L 4-6,38.0,35.0,4.0,11.0,6.0,3.0,0.0,2.0,4.0,1.0,1.0,2.0,5.0,0.314,0.342,0.571,0.914,20.0,1.0,0.0,0.0,1.0,0.0,
247,CHC,2025-05-20,2.0,@,MIA,W 14-1,49.0,46.0,14.0,21.0,15.0,4.0,0.0,2.0,14.0,0.0,0.0,2.0,7.0,0.457,0.469,0.674,1.143,31.0,1.0,0.0,0.0,1.0,0.0,
