Rk,Team,Date,SO,Unnamed: 4,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Wind Speed,Temp,Unnamed: 6
92,BAL,2025-05-16,13.0,,WSN,L 3-4,9.0,5.0,4.0,4.0,0.0,2.0,5.0,0.0,13.0,1.0,0.0,0.0,37.0,11.0,,,
93,BAL,2025-03-31,13.0,,BOS,W 8-5,9.0,8.0,5.0,5.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,1.0,39.0,12.0,,,
94,BOS,2025-05-13,13.0,@,DET,L 9-10 (11),10.0,11.0,10.0,7.0,3.0,3.0,4.0,1.0,13.0,1.0,0.0,1.0,45.0,16.0,,,
95,BOS,2025-04-24,13.0,,SEA,L 3-4,9.0,9.0,4.0,4.0,0.0,0.0,8.0,0.0,13.0,0.0,1.0,0.0,43.0,17.0,,,
96,BOS,2025-04-16,13.0,@,TBR,W 1-0,9.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,32.0,7.0,,,
97,CHW,2025-03-31,13.0,,MIN,W 9-0,9.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,1.0,0.0,0.0,35.0,8.0,,,
98,CIN,2025-05-07,13.0,@,ATL,W 4-3,9.0,6.0,3.0,3.0,0.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,34.0,7.0,,,
99,CIN,2025-04-26,13.0,@,COL,W 6-4,9.0,8.0,4.0,4.0,0.0,2.0,1.0,0.0,13.0,0.0,0.0,0.0,37.0,10.0,,,
100,CLE,2025-05-11,13.0,,PHI,L 0-3,9.0,6.0,3.0,3.0,0.0,2.0,4.0,0.0,13.0,0.0,0.0,0.0,36.0,10.0,,,
101,CLE,2025-04-30,13.0,,MIN,W 4-2,9.0,6.0,2.0,2.0,0.0,1.0,2.0,0.0,13.0,0.0,0.0,1.0,34.0,8.0,,,
102,CLE,2025-04-18,13.0,@,PIT,W 10-7,9.0,11.0,7.0,7.0,0.0,3.0,5.0,0.0,13.0,0.0,0.0,0.0,42.0,16.0,,,
103,COL,2025-04-06,13.0,,ATH,W 12-5,9.0,9.0,5.0,5.0,0.0,2.0,3.0,0.0,13.0,0.0,0.0,0.0,38.0,12.0,,,
104,DET,2025-05-25,13.0,,CLE,W 5-0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,29.0,3.0,,,
105,DET,2025-05-09,13.0,,TEX,W 2-1,9.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,31.0,4.0,,,
106,DET,2025-04-09,13.0,,NYY,L 3-4,9.0,7.0,4.0,3.0,1.0,1.0,5.0,0.0,13.0,2.0,0.0,0.0,41.0,14.0,,,
107,HOU,2025-05-03,13.0,@,CHW,W 8-3,9.0,6.0,3.0,3.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,36.0,10.0,,,
108,HOU,2025-04-29,13.0,,DET,W 6-4,9.0,8.0,4.0,4.0,0.0,2.0,3.0,0.0,13.0,1.0,0.0,1.0,39.0,12.0,,,
109,HOU,2025-04-01,13.0,,SFG,L 1-3,9.0,4.0,3.0,3.0,0.0,1.0,4.0,0.0,13.0,1.0,0.0,0.0,37.0,10.0,,,
110,LAD,2025-05-27,13.0,@,CLE,W 9-5,9.0,7.0,5.0,5.0,0.0,1.0,2.0,0.0,13.0,0.0,0.0,1.0,35.0,9.0,,,
111,LAD,2025-05-20,13.0,,ARI,W 4-3 (10),10.0,7.0,3.0,2.0,1.0,2.0,3.0,1.0,13.0,0.0,0.0,1.0,40.0,10.0,,,
112,LAD,2025-04-13,13.0,,CHC,L 2-4,9.0,8.0,4.0,4.0,0.0,3.0,2.0,0.0,13.0,1.0,0.0,3.0,37.0,11.0,,,
113,LAD,2025-03-29,13.0,,DET,W 7-3,9.0,6.0,3.0,3.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,1.0,36.0,10.0,,,
114,MIL,2025-05-28,13.0,,BOS,W 6-5 (10),10.0,9.0,5.0,4.0,1.0,2.0,5.0,1.0,13.0,1.0,0.0,1.0,45.0,16.0,,,
115,MIL,2025-05-20,13.0,,BAL,W 5-2,9.0,8.0,2.0,2.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,36.0,10.0,,,
116,MIN,2025-04-27,13.0,,LAA,W 5-0,9.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,32.0,6.0,,,
117,MIN,2025-04-26,13.0,,LAA,W 5-1,9.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,32.0,5.0,,,
118,MIN,2025-04-05,13.0,,HOU,W 6-1,9.0,9.0,1.0,1.0,0.0,1.0,2.0,0.0,13.0,1.0,0.0,0.0,39.0,12.0,,,
119,MIN,2025-04-01,13.0,@,CHW,W 8-3,9.0,9.0,3.0,3.0,0.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,36.0,10.0,,,
120,NYM,2025-04-21,13.0,,PHI,W 5-4,9.0,7.0,4.0,4.0,0.0,1.0,4.0,0.0,13.0,1.0,0.0,0.0,39.0,12.0,,,
121,NYM,2025-04-14,13.0,@,MIN,W 5-1,9.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,13.0,1.0,0.0,1.0,33.0,7.0,,,
122,NYY,2025-05-25,13.0,@,COL,W 5-4,9.0,8.0,4.0,4.0,0.0,1.0,4.0,0.0,13.0,0.0,0.0,2.0,39.0,12.0,,,
